DATE,POP
2008-11-01,305786
2008-12-01,306004
2009-01-01,306208
2009-02-01,306402
2009-03-01,306588
2009-04-01,306787
2009-05-01,306984
2009-06-01,307206
2009-07-01,307439
2009-08-01,307685
2009-09-01,307946
2009-10-01,308189
2009-11-01,308418
2009-12-01,308633
2010-01-01,308833
2010-02-01,309027
2010-03-01,309212
2010-04-01,309191.211
2010-05-01,309367.58
2010-06-01,309545.555
2010-07-01,309741.279
2010-08-01,309951.795
2010-09-01,310168.926
2010-10-01,310390.859
2010-11-01,310585.106
2010-12-01,310769.486
2011-01-01,310946.962
2011-02-01,311098.039
2011-03-01,311248.506
2011-04-01,311417.782
2011-05-01,311587.063
2011-06-01,311769.648
2011-07-01,311973.914
2011-08-01,312180.558
2011-09-01,312402.633
2011-10-01,312616.001
2011-11-01,312799.689
2011-12-01,312978.205
2012-01-01,313149.997
2012-02-01,313304.12
2012-03-01,313462.838
2012-04-01,313628.923
2012-05-01,313790.652
2012-06-01,313976.041
2012-07-01,314167.558
2012-08-01,314377.381
2012-09-01,314600.057
2012-10-01,314805.556
2012-11-01,315003.708
2012-12-01,315180.866
2013-01-01,315335.976
2013-02-01,315464.793
2013-03-01,315605.141
2013-04-01,315759.039
2013-05-01,315923.105
2013-06-01,316108.76
2013-07-01,316294.766
2013-08-01,316514.531
2013-09-01,316738.543
2013-10-01,316952.905
2013-11-01,317156.876
2013-12-01,317338.617
2014-01-01,317519.206
2014-02-01,317677.384
2014-03-01,317838.92
2014-04-01,318009.154
2014-05-01,318187.658
2014-06-01,318380.521
2014-07-01,318576.955
2014-08-01,318806.531
2014-09-01,319036.2
2014-10-01,319262.799
2014-11-01,319471.435
2014-12-01,319651.541
2015-01-01,319832.19
2015-02-01,319976.213
2015-03-01,320130.646
2015-04-01,320300.314
2015-05-01,320480.147
2015-06-01,320667.889
2015-07-01,320870.703
2015-08-01,321093.062
2015-09-01,321316.348
2015-10-01,321539.88
2015-11-01,321741.248
2015-12-01,321926.178
2016-01-01,322114.094
2016-02-01,322277.451
2016-03-01,322428.943
2016-04-01,322596.809
2016-05-01,322773.714
2016-06-01,322960.309
2016-07-01,323161.011
2016-08-01,323369.427
2016-09-01,323576.012
2016-10-01,323783.987
2016-11-01,323968.882
2016-12-01,324135.365
2017-01-01,324296.746
2017-02-01,324427.384
2017-03-01,324559.999
2017-04-01,324704.641
2017-05-01,324861.316
2017-06-01,325027.016
2017-07-01,325206.03
2017-08-01,325386.457
2017-09-01,325565.293
2017-10-01,325741.643
2017-11-01,325898.856
2017-12-01,326036.736
2018-01-01,326163.263
2018-02-01,326268.894
2018-03-01,326377.173
2018-04-01,326496.848
2018-05-01,326628.822
2018-06-01,326769.726
2018-07-01,326923.976
2018-08-01,327086.833
2018-09-01,327248.127
2018-10-01,327407.004
2018-11-01,327546.8
2018-12-01,327667.595
